"weapons/de_shot1.wav" "bts_rc/weapons/desert_eagle_sup.wav"
"otis/ot_attack.wav" "bts_rc/weapons/desert_eagle_sup.wav"
"weapons/pl_gun3.wav"  "weapons/pl_gun1.wav"
"!FG_CHARGE1" 		"bts_rc/null.wav"
"!FG_CHARGE2" 		"bts_rc/null.wav"

"!FG_TAUNT0" 		"bts_rc/null.wav"
"!FG_TAUNT1" 		"bts_rc/null.wav"
"!FG_TAUNT2" 		"bts_rc/null.wav"
"!FG_TAUNT3" 		"bts_rc/null.wav"
"!FG_TAUNT4" 		"bts_rc/null.wav"
"!FG_TAUNT5" 		"bts_rc/null.wav"

"!FG_OK0" 		"bts_rc/null.wav"
"!FG_OK1" 		"bts_rc/null.wav"
"!FG_OK2" 		"bts_rc/null.wav"
"!FG_OK3" 		"bts_rc/null.wav"
"!FG_OK4" 		"bts_rc/null.wav"
"!FG_OK5" 		"bts_rc/null.wav"
"!FG_OK6" 		"bts_rc/null.wav"
"!FG_OK7" 		"bts_rc/null.wav"
"!FG_OK8" 		"bts_rc/null.wav"
"!FG_OK9" 		"bts_rc/null.wav"

"!FG_SCARED0" 		"bts_rc/null.wav"
"!FG_SCARED1" 		"bts_rc/null.wav"

"!FG_WAIT0" 		"bts_rc/null.wav"
"!FG_WAIT1" 		"bts_rc/null.wav"
"!FG_WAIT2" 		"bts_rc/null.wav"
"!FG_WAIT3" 		"bts_rc/null.wav"

"!FG_STOP0" 		"bts_rc/null.wav"
"!FG_STOP1" 		"bts_rc/null.wav"
"!FG_STOP2" 		"bts_rc/null.wav"
"!FG_STOP3" 		"bts_rc/null.wav"

"!FG_KILL0" 		"bts_rc/null.wav"
"!FG_KILL1" 		"bts_rc/null.wav"
"!FG_KILL2" 		"bts_rc/null.wav"
"!FG_KILL3" 		"bts_rc/null.wav"
"!FG_KILL4" 		"bts_rc/null.wav"
"!FG_KILL5" 		"bts_rc/null.wav"
"!FG_KILL6" 		"bts_rc/null.wav"
"!FG_KILL7" 		"bts_rc/null.wav"
"!FG_KILL8" 		"bts_rc/null.wav"
"!FG_KILL9" 		"bts_rc/null.wav"

"!FG_SHOT0" 		"bts_rc/null.wav"
"!FG_SHOT1" 		"bts_rc/null.wav"
"!FG_SHOT2" 		"bts_rc/null.wav"
"!FG_SHOT3" 		"bts_rc/null.wav"
"!FG_SHOT4" 		"bts_rc/null.wav"
"!FG_SHOT5" 		"bts_rc/null.wav"

"!FG_CHECK0" 		"bts_rc/null.wav"
"!FG_CHECK1" 		"bts_rc/null.wav"

"!FG_IDLE0" 		"bts_rc/null.wav"
"!FG_IDLE1" 		"bts_rc/null.wav"
"!FG_IDLE2" 		"bts_rc/null.wav"
"!FG_IDLE3" 		"bts_rc/null.wav"
"!FG_IDLE4" 		"bts_rc/null.wav"
"!FG_IDLE5" 		"bts_rc/null.wav"
"!FG_IDLE6" 		"bts_rc/null.wav"
"!FG_IDLE7" 		"bts_rc/null.wav"
"!FG_IDLE8" 		"bts_rc/null.wav"
"!FG_IDLE9" 		"bts_rc/null.wav"
"!FG_IDLE10" 		"bts_rc/null.wav"
"!FG_IDLE11" 		"bts_rc/null.wav"
"!FG_IDLE12" 		"bts_rc/null.wav"

"!FG_ATTACK0" 		"bts_rc/null.wav"
"!FG_ATTACK1" 		"bts_rc/null.wav"
"!FG_ATTACK2" 		"bts_rc/null.wav"
"!FG_ATTACK3" 		"bts_rc/null.wav"
"!FG_ATTACK4" 		"bts_rc/null.wav"
"!FG_ATTACK5" 		"bts_rc/null.wav"
"!FG_ATTACK6" 		"bts_rc/null.wav"
"!FG_ATTACK7" 		"bts_rc/null.wav"
"!FG_ATTACK8" 		"bts_rc/null.wav"
"!FG_ATTACK9" 		"bts_rc/null.wav"
"!FG_ATTACK10" 		"bts_rc/null.wav"
"!FG_ATTACK11" 		"bts_rc/null.wav"

"!FG_MAD0" 		"bts_rc/null.wav"
"!FG_MAD1" 		"bts_rc/null.wav"

"!FG_HELLO0" 		"bts_rc/null.wav"
"!FG_HELLO1" 		"bts_rc/null.wav"
"!FG_HELLO2" 		"bts_rc/null.wav"

"!FG_WOUND0" 		"bts_rc/null.wav"
"!FG_WOUND1" 		"bts_rc/null.wav"
"!FG_WOUND2" 		"bts_rc/null.wav"

"!FG_MORTAL0" 		"bts_rc/null.wav"
"!FG_MORTAL1" 		"bts_rc/null.wav"
"!FG_MORTAL2" 		"bts_rc/null.wav"

"!FG_CURE1" 		"bts_rc/null.wav"
"!FG_CURE2" 		"bts_rc/null.wav"
"!FG_CURE3" 		"bts_rc/null.wav"
"!FG_CURE4" 		"bts_rc/null.wav"

"!FG_MAKEIT" 		"bts_rc/null.wav"
